0.48906	-0.28626	0.48906	-0.07335
0.50754	-0.27256	0.50754	-0.06897
0.52607	-0.25892	0.52607	-0.06430
0.54464	-0.24534	0.54464	-0.05935
0.56325	-0.23182	0.56325	-0.05414
0.58189	-0.21836	0.58189	-0.04870
0.60057	-0.20492	0.60057	-0.04303
0.61928	-0.19150	0.61928	-0.03713
0.63800	-0.17807	0.63800	-0.03099
0.65675	-0.16459	0.65675	-0.02462
0.67552	-0.15103	0.67552	-0.01798
0.69429	-0.13734	0.69429	-0.01105
0.71308	-0.12347	0.71308	-0.00381
0.73186	-0.10935	0.73186	0.00381
0.75065	-0.09490	0.75065	0.01185
0.76943	-0.08003	0.76943	0.02039
0.78820	-0.06464	0.78820	0.02952
0.80694	-0.04857	0.80694	0.03936
0.82565	-0.03168	0.82565	0.05004
0.84429	-0.01376	0.84429	0.06175
0.86284	0.00546	0.86284	0.07471
0.88122	0.02627	0.88122	0.08923
0.89934	0.04909	0.89934	0.10568
0.91705	0.07440	0.91705	0.12456
0.93413	0.10287	0.93413	0.14651
0.95030	0.13546	0.95030	0.17251
0.96527	0.17357	0.96527	0.20398
0.97881	0.22220	0.97881	0.24560
0.99081	0.28062	0.99081	0.29742
1.00000	0.47432	1.00000	0.47831
